ordinal,sku,asin,owner_decision,owner_reason_code,owner_reason,human_arbitration_batch,strict_v8_decision,strict_v8_reason_codes,asset_sha256,asset_local_path,source_main_image_url
20,CE-ASGK-ZRHM,B0H84651LM,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,GENERIC_OR_UNBRANDED_PACKAGE,21e1dcf6533d4b6ca5fe54583b663a23defe7d285f181b85e8e5650d73a4191c,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/020-CE-ASGK-ZRHM-B0H84651LM-21e1dcf6533d.jpg,https://m.media-amazon.com/images/I/81ml65hKLcL.jpg
21,CK-ASUM-WT9W,B0H86PRTWS,CHANGE,FICTIONAL_OR_NONCURRENT_PRODUCT,"The purple 'PB & Blueberry Jam' package is fictional/non-current, and the required approved Blueberry protein variant is absent.",A,REPAIR,WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT|FICTIONAL_OR_ALTERED_PACKAGE_ART|WRONG_NUTRITION_OR_VARIANT_TEXT,24b03ca34785d46db380b5f8d289751eb84b86791e065f8a5de160c99aa9f1d8,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/021-CK-ASUM-WT9W-B0H86PRTWS-24b03ca34785.jpg,https://m.media-amazon.com/images/I/81coYZwj8tL.jpg
22,CN-ASG6-892G,B0H8422DQ1,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,KEEP,,c2ac920c6fbcb6d4636dca6c936d9d203749b1360d8c6934de57d0b0d84c3696,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/022-CN-ASG6-892G-B0H8422DQ1-c2ac920c6fbc.jpg,https://m.media-amazon.com/images/I/81nOs-SRJ0L.jpg
23,DA-ASF0-D7RG,B0H83VBTLT,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,CARTON_COUNT_MATH_MISMATCH,bea6b4a1c0d6cbd3742f7965244155f927f860337332dd12b274ed85189c4fd5,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/023-DA-ASF0-D7RG-B0H83VBTLT-bea6b4a1c0d6.jpg,https://m.media-amazon.com/images/I/812zGa0rjBL.jpg
24,DF-ASQT-BLUQ,B0H83FKSN6,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,f72c8e7e4a642f43539d8175a0cb4f7dcb9cda53f3190255bf30378048ff5b22,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/024-DF-ASQT-BLUQ-B0H83FKSN6-f72c8e7e4a64.jpg,https://m.media-amazon.com/images/I/81mLiaptv1L.jpg
25,DP-ASQ6-ZPZU,B0H83Y8JH7,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,CARTON_COUNT_MATH_MISMATCH,31b34e45454fc81e8c93c4af80d64192e14d7bb600321c193a17d9711e435e18,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/025-DP-ASQ6-ZPZU-B0H83Y8JH7-31b34e45454f.jpg,https://m.media-amazon.com/images/I/81Usm4irbbL.jpg
26,DY-AS8W-6MJG,B0H82MKPRJ,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,a745d4c7ecfe6322716a8634f538c01c1a021f30eae47569d0f05456a3253da7,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/026-DY-AS8W-6MJG-B0H82MKPRJ-a745d4c7ecfe.jpg,https://m.media-amazon.com/images/I/81SgQGpzCSL.jpg
27,EF-AS4A-JCLU,B0H83XB855,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,CARTON_COUNT_MATH_MISMATCH|FICTIONAL_OR_ALTERED_PACKAGE_ART|WRONG_NUTRITION_OR_VARIANT_TEXT,6be4b3427805bf85e4c53fdcd927b34e52ef6734c66c5000a1c5b6c3db7e19b2,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/027-EF-AS4A-JCLU-B0H83XB855-6be4b3427805.jpg,https://m.media-amazon.com/images/I/81k1ni2HrNL.jpg
28,EJ-ASCD-8K87,B0H82PXWKS,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,CARTON_COUNT_MATH_MISMATCH,7cf148b1c1befe3b49ee1bd56ef9bfb3d59a1c4d3d573e44ae0929970e52013e,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/028-EJ-ASCD-8K87-B0H82PXWKS-7cf148b1c1be.jpg,https://m.media-amazon.com/images/I/81kIPVvKrRL.jpg
29,ER-ASRK-TPYQ,B0H84JH1WN,CHANGE,MISSING_REQUIRED_PRODUCT,Required Blueberry is absent; only Raspberry is shown.,A,REPAIR,WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT,2f56be3d1c10f53cc42daff033122f78bb94a762a93b69e6a7702c788917e749,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/029-ER-ASRK-TPYQ-B0H84JH1WN-2f56be3d1c10.jpg,https://m.media-amazon.com/images/I/81AI-N9O06L.jpg
30,ES-AS8A-3W3M,B0H83D8TFQ,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,LOOSE_ICE_VISIBLE,f51a9ba054bb9b34bff577c01e1030c1e45fa932be714b9ad82ca77b2e47d5f8,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/030-ES-AS8A-3W3M-B0H83D8TFQ-f51a9ba054bb.jpg,https://m.media-amazon.com/images/I/81Dneikb2EL.jpg
31,EW-ASJ9-E79N,B0H82MT74H,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,KEEP,,ca85c103d9791e5790d0854f78d835a849bf41903052ec259ffdb46b997b92ab,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/031-EW-ASJ9-E79N-B0H82MT74H-ca85c103d979.jpg,https://m.media-amazon.com/images/I/81gqET3xkgL.jpg
32,EW-ASWP-PMZX,B0H891WSZ9,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,CARTON_COUNT_MATH_MISMATCH,e5b7c0f09ad41fbf69c44ba2e15a0e029da8a750080d1bddcc9278b644cffc4f,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/032-EW-ASWP-PMZX-B0H891WSZ9-e5b7c0f09ad4.jpg,https://m.media-amazon.com/images/I/81Z1JiRM1RL.jpg
33,EX-ASC0-5CRL,B0H83JJW1F,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,KEEP,,18c8f3e1e2c184e29ad2a930308e82c492b27b8690fbdd9025a684f99c3803c4,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/033-EX-ASC0-5CRL-B0H83JJW1F-18c8f3e1e2c1.jpg,https://m.media-amazon.com/images/I/81S7KMupcAL.jpg
34,EZ-ASLA-Y7MZ,B0H83GBJLW,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,23a56c090dc8377327232e8017e67699b8d699fa46654c622b68df9ac3c42347,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/034-EZ-ASLA-Y7MZ-B0H83GBJLW-23a56c090dc8.jpg,https://m.media-amazon.com/images/I/81Ph9T-opML.jpg
35,FK-AS6B-6G25,B0H8259J9G,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,KEEP,,a15332be530c8a05bf32c94ea0a507c071de904664aeac005e677c83dd820366,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/035-FK-AS6B-6G25-B0H8259J9G-a15332be530c.jpg,https://m.media-amazon.com/images/I/81F0FK4TH6L.jpg
36,FM-AS51-S4MT,B0H853VHRF,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,CARTON_COUNT_MATH_MISMATCH|MISSING_RECIPE_COMPONENT,1272120c4f094b3eca0a21025973ad7e2238e470f8808e074573dc46f70a28a6,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/036-FM-AS51-S4MT-B0H853VHRF-1272120c4f09.jpg,https://m.media-amazon.com/images/I/81GU6xQAFYL.jpg
37,FN-ASVM-UWAG,B0H85J88LJ,KEEP_WITH_NOTE,ACCEPTED_VARIANT_NUANCE,Correct Peanut Butter and Grape flavors are shown in genuine packaging; the standard-versus-whole-wheat nuance is retained as a note and does not require MAIN replacement under the owner-approved norm.,A,REPAIR,MISSING_RECIPE_COMPONENT|WRONG_NUTRITION_OR_VARIANT_TEXT,4122fdcdc76688d6f884a4ea901f27bfd0728bc9eddf8fcb95d60895c73ed696,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/037-FN-ASVM-UWAG-B0H85J88LJ-4122fdcdc766.jpg,https://m.media-amazon.com/images/I/81QImg0hyBL.jpg
38,FR-AS6X-5KJY,B0H827V9DJ,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,LOOSE_ICE_VISIBLE|VISIBLE_TEXT_INTEGRITY_FAIL,025e677a6b5c69874bf43f640611b6201bfe019152a93cba5ac19f59fae7e895,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/038-FR-AS6X-5KJY-B0H827V9DJ-025e677a6b5c.jpg,https://m.media-amazon.com/images/I/81SwInkS7DL.jpg
39,FV-AS47-EJZW,B0H82SZSYJ,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,KEEP,,8ef9bceded1c40a8e0c18c3d34700ea8d81c57bba896e7ba5c3befb2eedf73ff,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/039-FV-AS47-EJZW-B0H82SZSYJ-8ef9bceded1c.jpg,https://m.media-amazon.com/images/I/81rOK5RQ2gL.jpg
40,FX-AS2W-KHZT,B0H827J2XZ,CHANGE,FICTIONAL_PACKAGING,Generic unbranded 10g/15-count packaging is fabricated rather than genuine Uncrustables packaging.,A,REPAIR,WRONG_FLAVOR_VISIBLE|FICTIONAL_OR_ALTERED_PACKAGE_ART|WRONG_NUTRITION_OR_VARIANT_TEXT|GENERIC_OR_UNBRANDED_PACKAGE,9783df8a5ce066aeb4e163c1cce37bf59eb4f397c1eda664acf69d5e26ba5297,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/040-FX-AS2W-KHZT-B0H827J2XZ-9783df8a5ce0.jpg,https://m.media-amazon.com/images/I/81pWrtjlvwL.jpg
41,GG-ASNC-C9WA,B0H8219Z7T,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,KEEP,,f123caa9ff3e1b4c58993731258217c2fa5a92c9775782de651b2f9b9fc12949,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/041-GG-ASNC-C9WA-B0H8219Z7T-f123caa9ff3e.jpg,https://m.media-amazon.com/images/I/81irQipeGML.jpg
42,GR-AS0R-YPCF,B0H82GJ292,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,f49770fa06f91e6860ad6469f1cd22b9ed9736d0e6a271db8b900437922217d6,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/042-GR-AS0R-YPCF-B0H82GJ292-f49770fa06f9.jpg,https://m.media-amazon.com/images/I/81jOiUWupiL.jpg
43,GR-AS1P-DBB2,B0H82S7TFG,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,CARTON_COUNT_MATH_MISMATCH,11543394de63f52e84ca23d40b4f17019406022772c56011c82477a4efae6503,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/043-GR-AS1P-DBB2-B0H82S7TFG-11543394de63.jpg,https://m.media-amazon.com/images/I/81Br9qhLZgL.jpg
44,GU-ASQ1-S7M6,B0H828GQLP,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,LOOSE_ICE_VISIBLE,ac4d801e2c9430c0559bc52454eeda922b371344a08cf9262df92c955b3695e3,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/044-GU-ASQ1-S7M6-B0H828GQLP-ac4d801e2c94.jpg,https://m.media-amazon.com/images/I/81idnnZr+NL.jpg
