queue_rank,queue_stage,ordinal,sku,asin,readiness,reference_gate,catalog_identity_gate,effective_total_units,presentation_class,pack_mode,component_plan,reason_codes,blocker_codes,generation_authorized,amazon_write_authorized
17,2,17,BQ-ASUE-NT37,B0H842HL49,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x bright-eyed-berry-protein as individual-wrapper (12 visible packages) | 12x reduced-sugar-grape-on-wheat as individual-wrapper (12 visible packages),GENERIC_OR_UNBRANDED_PACKAGE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
18,2,19,BY-ASY2-8UJJ,B0H83789KC,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,30,individual_wraps,individual-wrapper,30x reduced-sugar-strawberry-on-wheat as individual-wrapper (30 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
19,2,20,CE-ASGK-ZRHM,B0H84651LM,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x bright-eyed-berry-protein as individual-wrapper (12 visible packages) | 12x burstin-blueberry-protein as individual-wrapper (12 visible packages),GENERIC_OR_UNBRANDED_PACKAGE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
20,2,21,CK-ASUM-WT9W,B0H86PRTWS,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x chocolate-hazelnut as individual-wrapper (12 visible packages) | 12x burstin-blueberry-protein as individual-wrapper (12 visible packages),WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT|FICTIONAL_OR_ALTERED_PACKAGE_ART|WRONG_NUTRITION_OR_VARIANT_TEXT,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
21,2,23,DA-ASF0-D7RG,B0H83VBTLT,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,90,individual_wraps,individual-wrapper,90x peanut-butter-grape as individual-wrapper (90 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
22,2,24,DF-ASQT-BLUQ,B0H83FKSN6,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,45,individual_wraps,individual-wrapper,45x peanut-butter-chocolate-spread as individual-wrapper (45 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
23,2,25,DP-ASQ6-ZPZU,B0H83Y8JH7,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x bright-eyed-berry-protein as individual-wrapper (12 visible packages) | 12x peanut-butter as individual-wrapper (12 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING|AUTHENTICITY_REGISTRY_PRESENTATION_ART_MISSING,false,false
24,2,26,DY-AS8W-6MJG,B0H82MKPRJ,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,45,individual_wraps,individual-wrapper,45x burstin-blueberry-protein as individual-wrapper (45 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
25,2,27,EF-AS4A-JCLU,B0H83XB855,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x bright-eyed-berry-protein as individual-wrapper (12 visible packages) | 12x chocolate-hazelnut as individual-wrapper (12 visible packages),CARTON_COUNT_MATH_MISMATCH|FICTIONAL_OR_ALTERED_PACKAGE_ART|WRONG_NUTRITION_OR_VARIANT_TEXT,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
26,2,29,ER-ASRK-TPYQ,B0H84JH1WN,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x peanut-butter-raspberry as individual-wrapper (12 visible packages) | 12x burstin-blueberry-protein as individual-wrapper (12 visible packages),WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
27,2,30,ES-AS8A-3W3M,B0H83D8TFQ,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,30,individual_wraps,individual-wrapper,30x peanut-butter-chocolate-spread as individual-wrapper (30 visible packages),LOOSE_ICE_VISIBLE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
28,2,34,EZ-ASLA-Y7MZ,B0H83GBJLW,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,90,individual_wraps,individual-wrapper,90x reduced-sugar-strawberry-on-wheat as individual-wrapper (90 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
29,2,36,FM-AS51-S4MT,B0H853VHRF,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x reduced-sugar-strawberry-on-wheat as retail-carton (3 visible packages) | 12x peanut-butter-chocolate-spread as retail-carton (3 visible packages),CARTON_COUNT_MATH_MISMATCH|MISSING_RECIPE_COMPONENT,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
30,2,40,FX-AS2W-KHZT,B0H827J2XZ,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_single,retail-carton,24x bright-eyed-berry-protein as retail-carton (3 visible packages),WRONG_FLAVOR_VISIBLE|FICTIONAL_OR_ALTERED_PACKAGE_ART|WRONG_NUTRITION_OR_VARIANT_TEXT|GENERIC_OR_UNBRANDED_PACKAGE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
31,2,42,GR-AS0R-YPCF,B0H82GJ292,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,30,individual_wraps,individual-wrapper,30x peanut-butter as individual-wrapper (30 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_PRESENTATION_ART_MISSING,false,false
32,2,45,GX-ASTJ-WHV3,B0H83XV9WX,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x bright-eyed-berry-protein as individual-wrapper (12 visible packages) | 12x up-and-apple-protein as individual-wrapper (12 visible packages),CARTON_COUNT_MATH_MISMATCH|MISSING_RECIPE_COMPONENT,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
33,2,46,HA-ASCR-ME3A,B0H85V287S,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x up-and-apple-protein as individual-wrapper (12 visible packages) | 12x peanut-butter-chocolate-spread as individual-wrapper (12 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
34,2,47,HD-ASEQ-MFAY,B0H83QW85C,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,90,individual_wraps,individual-wrapper,90x up-and-apple-protein as individual-wrapper (90 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
35,2,48,HR-AS7Q-7ZDF,B0H856RRRK,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x peanut-butter as retail-carton (3 visible packages) | 12x peanut-butter-chocolate-spread as retail-carton (3 visible packages),CARTON_COUNT_MATH_MISMATCH|FICTIONAL_OR_ALTERED_PACKAGE_ART,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
36,2,49,HU-ASMI-DN3X,B0H82YMT6K,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,30,individual_wraps,individual-wrapper,30x burstin-blueberry-protein as individual-wrapper (30 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
37,2,51,HZ-ASPS-4L22,B0H857K38C,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x reduced-sugar-strawberry-on-wheat as individual-wrapper (12 visible packages) | 12x burstin-blueberry-protein as individual-wrapper (12 visible packages),GENERIC_OR_UNBRANDED_PACKAGE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
38,2,52,JC-ASM4-XXW7,B0H84ZL156,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x up-and-apple-protein as individual-wrapper (12 visible packages) | 12x peanut-butter-blackberry as individual-wrapper (12 visible packages),WRONG_NUTRITION_OR_VARIANT_TEXT,AUTHENTICITY_REGISTRY_FLAVOR_MISSING|AUTHENTICITY_REGISTRY_PRESENTATION_ART_MISSING,false,false
39,2,55,JS-AS5F-QB8T,B0H822TJ7C,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,30,individual_wraps,individual-wrapper,30x up-and-apple-protein as individual-wrapper (30 visible packages),GEL_PACK_COUNT_OR_LAYOUT_FAIL,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
40,2,58,JU-ASYC-SSJD,B0H854C7SZ,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x reduced-sugar-strawberry-on-wheat as retail-carton (3 visible packages) | 12x reduced-sugar-grape-on-wheat as retail-carton (3 visible packages),GENERIC_OR_UNBRANDED_PACKAGE|PRODUCT_PHYSICAL_SEATING_FAIL,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
41,2,59,JY-ASPW-LB4K,B0H84621N6,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x peanut-butter-raspberry as individual-wrapper (12 visible packages) | 12x up-and-apple-protein as individual-wrapper (12 visible packages),WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
42,2,60,KD-AS12-8HZ3,B0H845JBM6,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x bright-eyed-berry-protein as individual-wrapper (12 visible packages) | 12x morning-protein-mixed-berry as individual-wrapper (12 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
43,2,61,KN-ASYZ-ST4M,B0H83XBXHX,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x bright-eyed-berry-protein as individual-wrapper (12 visible packages) | 12x peanut-butter-raspberry as individual-wrapper (12 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
44,2,63,LH-ASP7-KZR4,B0H82XNFRW,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,90,individual_wraps,individual-wrapper,90x reduced-sugar-strawberry-on-wheat as individual-wrapper (90 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
45,2,65,LK-AS7X-K43B,B0H84CGGXL,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x peanut-butter-raspberry as retail-carton (3 visible packages) | 12x peanut-butter-strawberry as retail-carton (3 visible packages),FICTIONAL_OR_ALTERED_PACKAGE_ART|GENERIC_OR_UNBRANDED_PACKAGE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
46,2,66,LP-AS9J-HSVB,B0H82B7KK1,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_single,retail-carton,24x peanut-butter-raspberry as retail-carton (6 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
47,2,67,LU-ASK0-LSDF,B0H84YZDB7,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x peanut-butter as retail-carton (3 visible packages) | 12x peanut-butter-grape as retail-carton (3 visible packages),CARTON_COUNT_MATH_MISMATCH|FICTIONAL_OR_ALTERED_PACKAGE_ART|GENERIC_OR_UNBRANDED_PACKAGE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
48,2,68,ME-AS1I-SEX2,B0H83RVHNF,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,90,individual_wraps,individual-wrapper,90x peanut-butter-chocolate-spread as individual-wrapper (90 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
49,2,70,MP-ASYO-QNU2,B0H84Z9KWL,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x peanut-butter-honey as retail-carton (3 visible packages) | 12x peanut-butter-grape as retail-carton (3 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
50,2,72,NC-ASPL-EXE8,B0H83QRV43,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x bright-eyed-berry-protein as individual-wrapper (12 visible packages) | 12x reduced-sugar-strawberry-on-wheat as individual-wrapper (12 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
51,2,76,NT-ASIL-V5LK,B0H84547PM,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x bright-eyed-berry-protein as individual-wrapper (12 visible packages) | 12x peanut-butter-chocolate-spread as individual-wrapper (12 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
52,2,77,NV-AS86-HD44,B0H85KQJKS,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x chocolate-hazelnut as retail-carton (3 visible packages) | 12x reduced-sugar-grape-on-wheat as retail-carton (3 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
53,2,79,PJ-ASAX-6LTG,B0H82T12L7,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,90,individual_wraps,individual-wrapper,90x bright-eyed-berry-protein as individual-wrapper (90 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
54,2,80,PJ-ASDX-E8LW,B0H85MGP35,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x peanut-butter-honey as individual-wrapper (12 visible packages) | 12x morning-protein-mixed-berry as individual-wrapper (12 visible packages),WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
55,2,82,PP-AS23-SPLQ,B0H84CDNQG,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x peanut-butter-raspberry as retail-carton (3 visible packages) | 12x reduced-sugar-strawberry-on-wheat as retail-carton (3 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
56,2,83,PR-AS79-8SDF,B0H82L74PL,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,30,individual_wraps,individual-wrapper,30x bright-eyed-berry-protein as individual-wrapper (30 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
57,2,84,PT-AS5B-Z2XH,B0H84Z6QWY,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x reduced-sugar-strawberry-on-wheat as retail-carton (3 visible packages) | 12x peanut-butter-grape as retail-carton (3 visible packages),FICTIONAL_OR_ALTERED_PACKAGE_ART|GENERIC_OR_UNBRANDED_PACKAGE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
58,2,86,PW-ASDZ-CSR8,B0H839TPC5,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,45,individual_wraps,individual-wrapper,45x up-and-apple-protein as individual-wrapper (45 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
59,2,89,QE-ASEQ-4YV5,B0H82CBLRM,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_single,retail-carton,24x peanut-butter-strawberry as retail-carton (6 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
60,2,90,QP-ASAD-PTLX,B0H85DG2JQ,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x reduced-sugar-strawberry-on-wheat as individual-wrapper (12 visible packages) | 12x up-and-apple-protein as individual-wrapper (12 visible packages),FICTIONAL_OR_ALTERED_PACKAGE_ART|GENERIC_OR_UNBRANDED_PACKAGE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
61,2,94,RB-ASVO-GYCY,B0H859N8VM,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x up-and-apple-protein as individual-wrapper (12 visible packages) | 12x peanut-butter-strawberry as individual-wrapper (12 visible packages),FICTIONAL_OR_ALTERED_PACKAGE_ART|GENERIC_OR_UNBRANDED_PACKAGE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
62,2,95,RH-ASWA-ER34,B0H85JR6WN,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x peanut-butter-honey as retail-carton (3 visible packages) | 12x chocolate-hazelnut as retail-carton (3 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
63,2,98,RN-ASLP-VH3X,B0H82JYZQH,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,30,individual_wraps,individual-wrapper,30x reduced-sugar-grape-on-wheat as individual-wrapper (30 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
64,2,99,RQ-AS0L-9B45,B0H85MQLHG,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x peanut-butter-honey as individual-wrapper (12 visible packages) | 12x up-and-apple-protein as individual-wrapper (12 visible packages),WRONG_NUTRITION_OR_VARIANT_TEXT|VISIBLE_UNIT_COUNT_NOT_RECONCILED,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
65,2,100,RQ-AS78-STLZ,B0H85GR968,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x peanut-butter as individual-wrapper (12 visible packages) | 12x morning-protein-mixed-berry as individual-wrapper (12 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER|VISIBLE_UNIT_COUNT_NOT_RECONCILED,AUTHENTICITY_REGISTRY_PRESENTATION_ART_MISSING,false,false
66,2,101,RQ-ASM7-T9NN,B0H83HNB3B,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,90,individual_wraps,individual-wrapper,90x reduced-sugar-grape-on-wheat as individual-wrapper (90 visible packages),VISIBLE_UNIT_COUNT_NOT_RECONCILED,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
67,2,102,RR-ASG1-JVKV,B0H8361PYX,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,45,individual_wraps,individual-wrapper,45x reduced-sugar-strawberry-on-wheat as individual-wrapper (45 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
68,2,103,RS-AS47-M3K3,B0H87748WJ,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x chocolate-hazelnut as retail-carton (3 visible packages) | 12x peanut-butter-grape as retail-carton (3 visible packages),NO_APPROVED_COOLER_SCENE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
