sku,asin,main_decision,main_sha256,main_reason_codes,approved_replacement_candidate,gallery_structure_status,gallery_secondary_count,gallery_slot_1_status,gallery_product_visual_status,content_deterministic_status,content_full_evidence_status,content_failure_messages,content_fix_in_plan,price_status,consumer_price_check,business_price_check,min_price_check,max_price_check,discount_absent_check,list_price_absent_check,buyable,discoverable,required_repairs
FX-AS2W-KHZT,B0H827J2XZ,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MISMATCH,MISMATCH,MISMATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER|CLEAR_OPERATIONAL_LISTING_ISSUES
FR-AS6X-5KJY,B0H827V9DJ,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
GU-ASQ1-S7M6,B0H828GQLP,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,FAIL_REPAIR_REQUIRED,FAIL_AND_NEEDS_EVIDENCE,"own-brand recipe contains individual pieces, not retail boxes/cases",true,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|REPAIR_TEXT_SEMANTICS|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
PY-ASBM-WX6W,B0H82B7GV5,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MATCH,MATCH,MISMATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
LP-AS9J-HSVB,B0H82B7KK1,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
TQ-ASBR-96TC,B0H82BCZ44,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MISMATCH,MISMATCH,MATCH,MATCH,MISMATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER|CLEAR_OPERATIONAL_LISTING_ISSUES
QE-ASEQ-4YV5,B0H82CBLRM,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
GR-AS0R-YPCF,B0H82GJ292,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MATCH,MATCH,MISMATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
AD-AS4H-QXZD,B0H82J6V9T,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,FAIL_REPAIR_REQUIRED,FAIL_AND_NEEDS_EVIDENCE,own-brand content uses retail-count × pack-of multiplication,true,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MATCH,MATCH,MISMATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|REPAIR_TEXT_SEMANTICS|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
AV-AS7X-8EXK,B0H82JTY19,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,FAIL_REPAIR_REQUIRED,FAIL_AND_NEEDS_EVIDENCE,own-brand content uses retail-count × pack-of multiplication,true,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|REPAIR_TEXT_SEMANTICS|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
RN-ASLP-VH3X,B0H82JYZQH,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
PB-ASAF-G2T6,B0H82K7Y7S,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,true,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,FAIL_REPAIR_REQUIRED,FAIL_AND_NEEDS_EVIDENCE,own-brand content uses retail-count × pack-of multiplication,true,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|REPAIR_TEXT_SEMANTICS|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
ZX-AS2C-GT8Q,B0H82L3LRT,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MISMATCH,MISMATCH,MATCH,MATCH,MISMATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
PR-AS79-8SDF,B0H82L74PL,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,false,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER|CLEAR_OPERATIONAL_LISTING_ISSUES
NS-ASSD-B3JJ,B0H82L945T,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MATCH,MATCH,MISMATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
ZB-ASKL-9W8G,B0H82LKBYH,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,FAIL_REPAIR_REQUIRED,FAIL_AND_NEEDS_EVIDENCE,"own-brand recipe contains individual pieces, not retail boxes/cases",true,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MATCH,MATCH,MISMATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|REPAIR_TEXT_SEMANTICS|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
ZH-AS8W-G5MN,B0H82LMD9Z,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MISMATCH,MISMATCH,MATCH,MATCH,MISMATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
RL-AS64-Q8QX,B0H82LZLM2,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,5,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,FAIL_REPAIR_REQUIRED,FAIL_AND_NEEDS_EVIDENCE,own-brand content uses retail-count × pack-of multiplication,true,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,false,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|REPAIR_TEXT_SEMANTICS|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER|CLEAR_OPERATIONAL_LISTING_ISSUES
DY-AS8W-6MJG,B0H82MKPRJ,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MISMATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER|CLEAR_OPERATIONAL_LISTING_ISSUES
XJ-ASVD-CDMW,B0H82MSTD9,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MISMATCH,MISMATCH,MATCH,MATCH,MISMATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER|CLEAR_OPERATIONAL_LISTING_ISSUES
EW-ASJ9-E79N,B0H82MT74H,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MISMATCH,MISMATCH,MATCH,MATCH,MISMATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
MF-AS0J-YRT4,B0H82NHQCL,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
UJ-ASQ1-9FNR,B0H82P651P,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,5,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MISMATCH,MISMATCH,MATCH,MATCH,MISMATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER|CLEAR_OPERATIONAL_LISTING_ISSUES
